BEDRIJFSNAAM;VESTIGINGSPLAATS;VERSTREKT VOORSCHOT
DBT B.V.;ALMERE;14,208
DC AMSTERDAM B.V.;AMSTERDAM;2,037
DC DRUCKCHEMIE BENELUX B.V.;HELMOND;15,591
DC MODELS B.V.;ETTEN-LEUR;7,056
DC SCHOONMAAKDIENSTEN B.V.;BOXTEL;67,791
DC SERVICES B.V.;ARNHEM;1,530
DCB B.V.;BERLICUM NB;3,486
DCB HORECA B.V.;SINT ANTHONIS;30,969
DCRT EVENT DECORATIONS B.V.;HAARLEM;47,205
DCS OPS B.V.;BREDA;72,780
DD&A B.V.;VOORSCHOTEN;16,275
DDJ MEDIA B.V.;NAARDEN;48,069
DDK B.V.;UTRECHT;12,438
DDS LOGISTICS B.V.;VELDHOVEN;14,742
DE 80 SEAFOOD & WINE;ENKHUIZEN;6,438
DE AGRESSIETRAINERS B.V.;ECHT;2,556
DE AMSTERDAMMER B.V.;AMSTERDAM;6,807
DE ARENA CONNECTION B.V.;AMSTERDAM;5,235
DE AREND;WINSSEN;20,280
DE ARTIESTEN B.V.;AMSTERDAM;16,080
DE ASSHOEVE;HAPS;4,308
DE ATLEETFABRIEK B.V.;HAARLEM;20,865
DE AUTO AVENUE TILBURG B.V.;TILBURG;35,706
DE AUTOSCHADEHERSTELLERS LISSE B.V.;LISSE;23,691
DE AUTOSCHADEHERSTELLERS NIEUWKOOP B.V.;NIEUWKOOP;16,956
DE AUTOSCHADEHERSTELLERS NOORDWIJK B.V.;NOORDWIJK ZH;25,554
DE AVONTUURFABRIEK B.V.;LOOSDRECHT;28,047
DE BAAR BUSINESS SOLUTIONS B.V.;WIJK BIJ DUURSTEDE;17,718
DE BAKERMAT PROJEKTREKLAME B.V.;HELMOND;2,511
DE BAKKER B.V.;S-HERTOGENBOSCH;16,404
DE BANK & CO V.O.F.;BUNNIK;2,037
DE BATTERIJEN AAN DE OVEREINDSEWEG B.V.;NIEUWEGEIN;5,451
DE BAZAR B.V.;ROTTERDAM;78,948
DE BAZEL B.V.;AMSTERDAM;8,286
DE BEDRIJFSADVISEUR LIMBURG-BRABANT B.V.;HEERLEN;25,614
DE BEDSTEE CAPSULES HOTEL B.V.;AMSTERDAM;11,124
DE BELG I HORECA B.V.;AMSTERDAM;23,712
DE BEROEPENTUIN ROTTERDAM B.V.;ROTTERDAM;61,272
DE BEST ELEKTROTECHNIEK B.V.;HOORN NH;50,235
DE BESTE PRINT AMSTERDAM B.V.;AMSTERDAM;6,123
DE BEURS' B.V.;TIEL;1,062
DE BEURS C.V.;SINT-OEDENRODE;2,568
DE BICKER ETEN EN DRINKEN V.O.F.;AMSTERDAM;2,001
DE BIELHEIMERBEEK B.V.;VARSSEVELD;15,270
DE BIERELIER B.V.;S-GRAVENHAGE;4,248
DE BIERTUIN PRINSENGRACHT B.V.;AMSTERDAM;6,213
DE BIJEN B.V.;RHENEN;4,491
DE BINDER LEERSUM B.V.;LEERSUM;12,537
DE BINNENKAMER B.V.;WINTERSWIJK;4,347
DE BIOS HEERENVEEN B.V.;HEERENVEEN;5,397
DE BISSCHOPSMOLEN V.O.F.;MAASTRICHT;18,564
DE BLAUWE HOLLANDER B.V.;AMSTERDAM;39,087
DE BLINDE LAUNDRY HEERENVEEN B.V.;HEERENVEEN;111,975
DE BLOK BOUW EN VERBOUW B.V.;HILVERSUM;4,668
DE BLOOMSBURY B.V.;WESTERLAND;10,752
DE BOEKANIER V.O.F.;TILBURG;1,905
DE BOER & EGBERTS ADVOCATEN B.V.;LEEUWARDEN;19,161
DE BOER AUTOSCHADE B.V.;HEERENVEEN;20,724
DE BOER GROOTHANDEL & SCHUUR KANTOORCENTRUM B.V.;VEENDAM;6,813
DE BOER INVESTMENT B.V.;ALKMAAR;14,013
DE BOER MAATWERK IN KEUKENS B.V.;GOUDA;41,391
DE BOER R.V.S. B.V.;MAKKUM FR;17,421
DE BOER STRUCTURES B.V.;ALKMAAR;228,243
DE BOER SURAKARTA B.V.;LEIDEN;12,081
DE BOERDERIJ BY CHARRELS B.V.;VOORBURG;6,105
DE BOEREPLAATS V.O.F.;WAARLAND;4,044
DE BOEZEM TOURINGCARS B.V.;CAPELLE AAN DEN IJSSEL;6,282
DE BOKKEDOORNS B.V.;OVERVEEN;46,506
DE BOLLE HOED B.V.;AMSTERDAM;8,130
DE BOMBARDON B.V.;HEYTHUYSEN;13,563
DE BONDT GRAFIMEDIA COMMUNICATIE B.V.;BARENDRECHT;144,249
DE BONDT TRANSPORT B.V.;VAASSEN;58,923
DE BONTE HAAS B.V.;WATERINGEN;16,026
DE BOUWERS B.V.;AALST GLD;12,726
DE BROUWER WEERT B.V.;WEERT;2,655
DE BRUG B.V.;ROOSENDAAL;8,358
DE BRUG PERSONEEL B.V.;LOCHEM;91,719
DE BRUG SERVICES B.V.;ROOSENDAAL;10,149
DE BRUIN EXPLOITATIEMIJ B.V.;NUENEN;18,531
DE BUNDEL INSTALLATIETECHNIEK B.V.;ALMERE;62,082
DE BUREN AFHAALCENTRUM B.V.;HENGELO OV;49,908
DE BURGEMEESTERS B.V.;RIJSWIJK ZH;4,569
DE BURGT HORECA B.V.;RIJNSBURG;9,888
DE BUSJOP B.V.;HEYTHUYSEN;10,278
DE BUURTBOER B.V.;AMSTERDAM;6,741
DE BUURTBOER B.V.;AMSTERDAM;53,718
DE COLLSE HOEVE EXPLOITATIE B.V.;NUENEN;72,354
DE CONINCK WINES B.V.;STEENBERGEN NB;3,276
DE CREATIEVE DIRECTIE B.V.;AMSTERDAM;11,394
DE CULINAIRE MAKELAAR B.V.;ZWOLLE;40,761
DE DAGTOCHTEN SPECIALIST B.V.;ASSENDELFT;21,849
DE DAMPKRING B.V.;AMSTERDAM;18,834
DE DRAIT YACHTING B.V.;DE WILGEN;8,766
DE DRES B.V.;NIBBIXWOUD;5,223
DE DRIE UILTJES V.O.F.;GRONINGEN;3,150
DE DROMMEDAAR B.V.;EMMEN;6,303
DE EDESE DRANKENHANDEL B.V.;EDE GLD;6,765
DE EETBAR B.V.;ROSMALEN;4,365
DE EETBOETIEK V.O.F.;SLUIS;12,465
DE EEUWIGE JEUGD HORECA B.V.;AMSTERDAM;69
DE EIKENHOF B.V.;VOERENDAAL;7,332
DE ELSTAR B.V.;BARNEVELD;40,383
DE ENTERTAINMENT AANNEMER B.V.;HILVERSUM;4,107
DE FANTASTISCHE WILLEM II B.V.;VALKENSWAARD;3,927
DE FEESTFABRIEK B.V.;AMSTERDAM;35,859
DE FEESTMEESTERS B.V.;KAMPEN;2,610
DE FRIES HORECA B.V.;NES AMELAND;19,395
DE GELDERLANDFABRIEK B.V.;CULEMBORG;10,317
DE GIER B.V.;WATERINGEN;191,148
DE GOEDE REEDE B.V.;S-GRAVENHAGE;11,268
DE GOEDE VISUELE COMMUNICATIE B.V.;BRUMMEN;24,309
DE GOEIJ GARAGE B.V.;MONTFOORT;8,574
DE GOEIJ POMPSTATION B.V.;MONTFOORT;4,644
DE GOUDEN LEEUW B.V.;ZEVENBERGSCHEN HOEK;14,331
DE GOUDEN LEEUW B.V.;ZUIDLAREN;4,437
DE GOUDEN WOK B.V.;HAZERSWOUDE-DORP;9,678
DE GOUDSE LICHTFABRIEK B.V.;GOUDA;19,635
DE GRAAF AUTOMOTIVE HANDEL B.V.;GIESSENBURG;2,235
DE GRAAF AUTOMOTIVE SERVICE B.V.;GIESSENBURG;5,265
DE GRAAF AUTOSPUITERIJ EN SCHADE- HERSTEL B.V.;ZWAAGDIJK-OOST;30,621
DE GRAAF SECURITY B.V.;PURMEREND;65,382
DE GRAAF VAN VILSTEREN B.V., MAKELAARS EN TAXATEURS;ZWOLLE;12,288
DE GRACHTHOF B.V.;GIETHOORN;9,285
DE GRIFFEL DE BILT B.V.;DE BILT;11,577
DE GROENE LUIFEL B.V.;SLUIS;6,111
DE GROENE VLINDER BAARLE-NASSAU V.O.F.;BAARLE-NASSAU;4,731
DE GROENMAKERS B.V.;DOETINCHEM;111,891
DE GROENTEMEESTERS B.V.;AMSTERDAM;1,578
DE GRONDSLAG PAARDENSPORTBODEMS B.V.;UTRECHT;2,820
DE GROOT B.V.;HOORN NH;13,509
DE GROOT CAMERASYSTEMEN B.V.;HEEREWAARDEN;19,980
DE GROOT GROOTVERBRUIK B.V.;DEN HOORN ZH;59,562
DE GROOT RETAIL B.V.;AMSTERDAM;7,392
DE GROOT SOUVENIRS;UTRECHT;2,208
DE GROOT TECHNIEK B.V.;BRAKEL;28,635
DE GROOT VARKENSHOUDERIJ B.V.;HOLTHEES;19,191
DE GROOTH VERVOER B.V.;VEENDAM;136,089
DE GROTE BROER B.V.;NIJMEGEN;15,111
DE GROTE SLOK B.V.;UTRECHT;4,167
DE HAAGSE ROZENKNOP V.O.F.;HELMOND;954
DE HAAN HEINO BEHEER II B.V.;HEINO;48,897
DE HAAN IT NEDERLAND B.V.;ALMERE;193,152
DE HAAN MACHINEFABRIEK B.V.;HEINO;60,270
DE HAERLEMMERDIJCK B.V.;AMSTERDAM;5,505
DE HALLEN STUDIOS B.V.;AMSTERDAM;6,609
DE HAVEN VAN TEXEL V.O.F.;AMSTERDAM;15,846
DE HAVENPOOL B.V.;AMSTERDAM;25,410
DE HAZELBERG B.V.;REEK;2,682
DE HEERDT;OOSTERWOLDE GLD;1,854
DE HEEREN VAN AEMSTEL B.V.;AMSTERDAM;13,062
DE HEEREN VAN COEVORDEN B.V.;COEVORDEN;40,008
DE HEERLIJKHEID B.V.;HEEZE;8,697
DE HEES B.V.;REEK;9,549
DE HEI AGRO MARIAHEIDE B.V.;VEGHEL;2,802
DE HEISCHE HOEVE B.V.;LOOSBROEK;35,655
DE HOEFSLAG HORECAEXPLOITATIE B.V.;BOSCH EN DUIN;16,335
DE HOEVE B.V.;GRONINGEN;1,875
DE HOGE DEVEL B.V.;ZWIJNDRECHT;23,055
DE HOGE NEER B.V.;ETTEN-LEUR;12,147
DE HOOF GROEPSACCOMODATIES B.V.;SOMEREN;4,590
DE HOOG SCHADEREGELING B.V.;NEEDE;11,004
DE HORECA ACADEMIE ZAKELIJK B.V.;S-GRAVENHAGE;36,399
DE HORECA FABRIEK B.V.;LEIDSCHENDAM;22,854
DE HORECA VAN VERMEER B.V.;WOERDEN;3,624
DE HUIFKAR B.V.;BREDA;13,359
DE HUISKAMER B.V.;VOLENDAM;22,044
DE HUISSLEUTEL B.V.;TILBURG;4,044
DE HUURWONINGBEMIDDELAAR DEN HELDER B.V.;DEN HELDER;5,625
DE HYPOTHEKER WAALWIJK B.V.;WAALWIJK;6,147
DE ICT AFDELING B.V.;BARENDRECHT;9,573
DE IJMOND B.V.;IJMUIDEN;26,292
DE IJSENDIJKER B.V.;PURMEREND;1,098
DE IJZEREN MAN BEHEER B.V.;JOURE;7,218
DE INCASSOKAMER B.V.;EMMELOORD;7,350
DE INDISCHE BV;NIEUW-VENNEP;27,773
DE INZET B.V.;AMSTERDAM;3,162
DE JAGER BETONHERSTEL B.V.;KATWIJK ZH;14,832
DE JAPANSE WATERTUIN B.V.;NAALDWIJK;67,962
DE JONG & VAN STIJN B.V.;BEVERWIJK;13,722
DE JONG AUTOBEDRIJF KATWIJK B.V.;KATWIJK ZH;51,795
DE JONG BETON ZUNDERT B.V.;ZUNDERT;1,443
DE JONG EN ROEST AUTOMOBIELEN B.V.;AALSMEER;8,391
DE JONG INTRA VAKANTIES B.V.;RIDDERKERK;227,178
DE JONG INTRA VAKANTIES B.V.;RIDDERKERK;6,468
DE JONG LELIES HOLLAND B.V.;ANDIJK;55,368
DE JONG SHOES B.V.;ALKMAAR;5,196
DE JONG VERZEKERINGEN B.V.;LEERDAM;6,876
DE JONGH'S TRANSPORTEN ARNHEM B.V.;S-HEERENBERG;56,544
DE JONG'S HYDRAULISCHE SYSTEMEN B.V.;AMMERZODEN;1,896
DE JONG'S TIMMERFABRIEK BERGAMBACHT B.V.;BERGAMBACHT;364,458
DE JUTTER PURMEREND C.V.;PURMEREND;45,024
DE K VAN KINDEREN V.O.F.;LEUTINGEWOLDE;9,099
DE KACHELSPECIALIST B.V.;GOUTUM;3,516
DE KANTOORCENTRALE B.V.;HEEMSKERK;5,982
DE KASTANJE B.V.;MILLINGEN AAN DE RIJN;417
DE KEERZIJDE B.V.;TERHEIJDEN;3,534
DE KEIZER JUWELIER B.V.;ROTTERDAM;4,125
DE KENTERING HORECA B.V.;ROSMALEN;12,483
DE KIJKER B.V.;UTRECHT;11,097
DE KLEUVER BEDRIJFSCOMMUNICATIE B.V.;VEENENDAAL;7,182
DE KLOK HORECA GENDT B.V.;GENDT;10,605
DE KLOP GROEP B.V.;VIANEN UT;264,570
DE KLUIS ETEN & DRINKEN B.V.;VLIJMEN;12,276
DE KOFFIESCHENKERIJ;AMSTERDAM;7,140
DE KONING MARINE SERVICE B.V.;OOSTERHOUT NB;160,239
DE KONING PARTY & EVENTS;AMSTERDAM;7,206
DE KONING V.O.F.;UDEN;2,523
DE KONING V.O.F.;UDEN;2,211
DE KONINKLIJKE NEDERLANDSE ZWEMBOND - KNZB;NIEUWEGEIN;229,281
DE KOOKFABRIEK AMSTERDAM B.V.;AMSTERDAM-DUIVENDRECHT;9,183
DE KOOKFABRIEK ROTTERDAM B.V.;ROTTERDAM;7,704
DE KOOKFABRIEK UTRECHT B.V.;UTRECHT;1,167
DE KOPEREN PLAS B.V.;ZWOLLE;39,873
DE KOPEREN TUIN B.V.;LEEUWARDEN;16,290
DE KOPIEERDER V.O.F.;ROERMOND;1,620
DE KOPIEERDER V.O.F.;ROERMOND;1,575
DE KORT CATERING B.V.;RIJEN;36,951
DE KORT TRAILERSERVICE B.V.;ROOSENDAAL;11,406
DE KORTE SPORT- EN GEZONDHEIDSINSTITUUT B.V.;HOOGVLIET ROTTERDAM;1,662
DE KOSTER PYROTECHNISCHE EVENEMENTEN B.V.;DRONTEN;84
DE KRAAIJ B.V.;ZUILICHEM;1,722
DE KRING AUTOMOTIVE B.V.;KLAZIENAVEEN;7,536
DE KRING BOUWGROEP B.V.;KLAZIENAVEEN;3,702
DE KROON CATERING-SERVICE B.V.;UTRECHT;11,640
DE KROON HORECA B.V.;MARKELO;31,095
DE KROON MEETING PARTNER B.V.;UTRECHT;5,732
DE KROON VAN SINGEL B.V.;AMSTELVEEN;10,749
DE KRUIJFF INTERNATIONAL B.V.;GAANDEREN;3,045
DE KUIL B.V.;ABCOUDE;9,240
DE KUNSTSALON V.O.F.;UTRECHT;4,332
DE LA ROUE BEHEER EN BEWIND B.V.;AMSTERDAM;3,084
DE LA ROY ISOLATIE EN DESIGN B.V.;GEMERT;43,167
DE LAARHOEVE B.V.;DIESSEN;4,581
DE LANDGOEDERIJ B.V.;BUNNIK;24,120
DE LANGEN BOUW B.V.;BERGAMBACHT;83,316
DE LEESKRING INTIEM B.V.;HILVERSUM;13,158
DE LEEUW ELECTROTECHNIEK B.V.;NIEUWENDIJK NB;3,360
DE LEEUW PERSONENVERVOER REGIO B.V.;ROERMOND;34,638
DE LEEUW PERSONENVERVOER ROERMOND B.V.;OSPEL;14,136
DE LEEUW PERSONENVERVOER VENLO B.V.;OSPEL;18,069
DE LEEUW PERSONENVERVOER WEERT EN NEDERWEERT B.V.;OSPEL;16,875
DE LEIDSE BOCHT B.V.;AMSTERDAM;59,997
DE LEVENDE STEEN B.V.;AMBT DELDEN;8,214
DE LICHTENBERG B.V.;VOORST OUDE IJSSELSTREEK;5,772
DE LIMBURGSE WALLEN B.V.;MAASBRACHT;7,569
DE LOOPER ANALYTICAL B.V.;HILVARENBEEK;3,069
DE LOOPER NDO B.V.;HILVARENBEEK;2,328
DE LOOS & SCHRIJVER ADVOCATEN B.V.;WASSENAAR;7,014
DE LUNCHERIJ B.V.;VLIJMEN;2,337
DE LUXE WONING B.V.;BROEK OP LANGEDIJK;21,366
DE M FACTOR B.V.;AMSTERDAM;4,479
DE MAGNOLIA V.O.F.;RIJSSEN;1,926
DE MAR 2D B.V.;GROU;149,745
DE MARCO V.O.F.;OSS;1,680
DE MARKIES NIJMEGEN B.V.;NIJMEGEN;21,567
DE MARKTKANTINE B.V.;AMSTERDAM;44,493
DE MARSKRAMER B.V.;ALMELO;6,588
DE MEERPAAL B.V.;ZEGVELD;13,095
DE MEESTER B.V.;AMSTERDAM;43,428
DE MEETLAT 1 VOF;DEN HELDER;1,443
DE MEIDEN VAN JAN V.O.F.;NIJMEGEN;1,321
DE MEIJERE HORECA ADVIES B.V.;AMSTERDAM;5,790
DE MERE VOF;BALGOIJ;5,430
DE MEULEMEESTER B.V.;YERSEKE;21,093
DE MICHIEL B.V.;VALKENBURG LB;21,795
DE MILTENBURGER V.O.F.;DE BILT;6,960
DE MODEBROUWERIJ B.V.;IJSSELSTEIN UT;20,355
DE MOLENS B.V.;AMSTERDAM;13,197
DE MOOR B.V.;WIJCHEN;12,840
DE MORIAAN ETEN & DRINKEN V.O.F.;ROOSENDAAL;6,096
DE MORTELHOEVE V.O.F.;OIRSCHOT;963
DE MUIJNCK EXPLOITATIE B.V.;BORSSELE;45,576
DE MUYNCK TECHNIEK B.V.;BORSSELE;36,567
DE NACHT B.V.;TILBURG;2,352
DE NATIONALE THEATERKASSA B.V.;DELFT;21,771
DE NEDERLANDSE CYSTIC FIBROSIS STICHTING;BAARN;46,029
DE NEDERLANDSE HOTEL BEURS B.V.;BUSSUM;5,082
DE NEULEN B.V.;OSPEL;41,619
DE NIEUWE AANLEG B.V.;ALMEN;3,867
DE NIEUWE ACADEMIE B.V.;GRONINGEN;12,909
DE NIEUWE AFSPRAAK B.V.;AMSTERDAM;10,074
DE NIEUWE BRUG B.V.;OMMEN;17,756
DE NIEUWE CULTUUR STICHTING;AMSTERDAM;12,462
DE NIEUWE SLAGER B.V.;NAARDEN;32,868
DE NIEUWE STEK B.V.;AMSTERDAM;2,085
DE NIEUWE VESTE B.V.;TETERINGEN;3,207
DE NIEUWE YOGASCHOOL B.V.;AMSTERDAM;19,866
DE NOOD B.V.;MIDDELBURG;29,706
DE NOOD GROUP B.V.;MIDDELBURG;13,488
DE NOOIJ STAINLESS B.V.;EDE GLD;29,103
DE OESTERCOMPAGNIE B.V.;ROTTERDAM;6,255
DE OLIEBARON B.V.;DORDRECHT;11,799
DE OOSTERHOUTSE KANEELSTOK B.V.;OOSTERHOUT NB;42,966
DE OOSTKAMP B.V.;ENSCHEDE;2,700
DE OUDE BIBLIOTHEEK B.V.;DELFT;344,910
DE OUDE KRUIK B.V.;AMSTERDAM;4,137
DE OUDE RECHTBANK B.V.;EINDHOVEN;22,122
DE OVERKANT PAN B.V.;AMSTERDAM;40,968
DE PANDOER B.V.;HEUSDEN GEM ASTEN;11,568
DE PANNENKOEKENBAKKER TILBURG BV;TILBURG;2,154
DE PARADE B.V.;AMSTERDAM;21,924
DE PAREL VAN VREESWIJK B.V.;NIEUWEGEIN;6,552
DE PASTAFABRIEK GRONINGEN B.V.;GRONINGEN;6,729
DE PELGRIM NIJMEGEN B.V.;NIJMEGEN;8,052
DE PINDAKAASMAKERIJ B.V.;SASSENHEIM;7,251
DE PIXELAAR B.V.;AMERSFOORT;3,069
DE POL ZELHEM B.V.;ZELHEM;4,200
DE POORT VAN LUNETTEN B.V.;UTRECHT;11,673
DE POORTERIJ B.V.;WAALWIJK;16,569
DE PRAAM B.V.;AALSMEER;20,604
DE PRAEL HOLDING B.V.;AMSTERDAM;45,846
DE PRAEL WEST B.V.;AMSTERDAM;10,332
DE PRETFABRIEK WOERDEN B.V.;WOERDEN;4,902
DE PRINT FABRIEK B.V.;RENSWOUDE;10,422
DE PROM UTRECHT HOLDING B.V.;UTRECHT;23,355
DE QUIZ B.V.;ENSCHEDE;6,903
DE RAAD SHIPPING B.V.;RHOON;26,832
DE RAAIJ EN DATEMA B.V.;SCHIEDAM;69,825
DE RECLAMEMAKERS B.V.;UTRECHT;25,413
DE REEHORST B.V.;EDE GLD;112,551
DE REEHORST B.V.;EDE GLD;23,532
DE REIS BELEVING B.V.;MAARSSEN;6,192
DE REKREATIEBARON B.V.;BEEK GEM MONTFERLAND;5,343
DE REMBRANDT BAR V.O.F.;AMSTERDAM;5,028
DE RESOLUTIE UTRECHT B.V.;RIJSWIJK ZH;11,316
DE RIDDER TRENDS B.V.;KRIMPEN AAN DE LEK;246
DE RODE LOPER CONCEPT B.V.;AMSTERDAM;22,620
DE ROO DIERENSPECIAALZAAK B.V.;ALMELO;5,481
DE ROO PERSONENVERVOER B.V.;NAALDWIJK;34,314
DE ROTONDE B.V.;HENGEVELDE;9,327
DE ROTTERDAM B.V.;ROTTERDAM;206,340
DE RUGGESTEE B.V.;HOENDERLOO;7,467
DE RUIJTER BETIMMERINGEN B.V.;HARDINXVELD-GIESSENDAM;36,342
DE RUIJTER INSTALLATIEBEDRIJF B.V.;EERBEEK;27,525
DE RUITER B.V.;AMSTERDAM;13,941
DE RUITERIJ B.V.;MAASTRICHT;76,326
DE SALADETUIN V.O.F.;AMSTERDAM;29,343
DE SALLANDSE BERG B.V.;NIJVERDAL;34,833
DE SAMENWERKING OCHTEN B.V.;OCHTEN;591
DE SCHAAPSKOOI VOF;SLUIS;6,411
DE SCHEIDINGSDESKUNDIGE B.V.;HENGELO OV;8,454
DE SCHILDKAMP B.V.;ASPEREN;29,220
DE SCHROBBELER B.V.;TILBURG;82,941
DE SLAAPKOP B.V.;EINDHOVEN;2,508
DE SLAK B.V.;EINDHOVEN;7,491
DE SLENK C.V.;JULIANADORP;783
DE SLEUTEL ARNHEM B.V.;ARNHEM;24,344
DE SLEUTEL DEVENTER B.V.;DEVENTER;9,963
DE SLIMMERICK V.O.F.;NAALDWIJK;4,179
DE SMAAK VAN HET NOORDEN B.V.;GRONINGEN;22,041
DE SMAAKFABRIEK B.V.;SCHIJNDEL;6,882
DE SMIDSE B.V.;ARNHEM;14,670
DE SNACKCOUNTER V.O.F.;DEN HELDER;225
DE SNELLE VLIET TOURINGCARS B.V.;ALBLASSERDAM;120,726
DE SNOESHAEN;S-GRAVENHAGE;534
DE SNOO TRANSPORT EN WATERWERKEN B.V.;RAAMSDONKSVEER;7,626
DE SOCIETEITEN AMICITIA EN DE ZWARTE AREND.;S-HERTOGENBOSCH;7,692
DE SPAARBANKHOEVE B.V.;FLUITENBERG;5,454
DE SPARRENHORST B.V.;NUNSPEET;164,862
DE SPORTKANTINE B.V.;AMSTERDAM;28,512
DE SPREEUWEL B.V;OOST WEST EN MIDDELBEERS;12,867
DE STAALMEESTERS B.V.;AMSTERDAM;6,024
DE STAD B.V.;UTRECHT;34,899
DE STADJERSHAL B.V.;GRONINGEN;14,355
DE STADSHERBERG KAMPEN V.O.F.;KAMPEN;13,095
DE STARTERSBOX B.V.;UTRECHT;1,959
DE STEENOVEN B.V.;HUMMELO;4,542
DE STERKERIJ B.V.;RIJSSEN;25,485
DE STOKKENBAR B.V.;AMSTERDAM;10,281
DE STOLP B.V.;SNEEK;23,067
DE STRIP B.V.;ENSCHEDE;11,547
DE SUIKERBOL WASSENAAR B.V.;WASSENAAR;4,230
DE TAPPERIJ B.V.;MEPPEL;10,425
DE TAPPERIJ GRONINGEN B.V.;GRONINGEN;9,165
DE TAPPERIJ GROTE MARKT B.V.;GRONINGEN;6,906
DE TAVEERNE B.V.;S-HERTOGENBOSCH;11,853
DE TECHNIEKSCHOOL B.V.;WOERDEN;9,798
DE TECHNISCHE DETACHEERDER B.V.;HOOFDDORP;12,042
DE THEATERLOODS RADIO KOOTWIJK B.V.;RADIO KOOTWIJK;8,901
DE TIMP B.V.;ZIEUWENT;7,572
DE TOEKOMST B.V.;MEPPEL;16,752
DE TOLLENAERE B.V.;HOUTEN;12,291
DE TOSTI & EZPREZZO BAR B.V.;ARNHEM;2,508
DE TRECHTER UTRECHT B.V.;UTRECHT;753
DE TULP PARTY- EN ZALENCENTRUM SPORTLAAN B.V.;ZAANDAM;4,218
DE TULP PARTY- EN ZALENVERHUUR BARKSTRAAT B.V.;ZAANDAM;4,218
DE TURFVAART V.O.F.;ETTEN-LEUR;10,953
DE TWEE JONGENS UIT GRONINGEN B.V.;GRONINGEN;6,711
DE TWEEKOPPIGE PHOENIX V.O.F.;ZAANDAM;5,265
DE TWENTSE SCHOUWBURG N.V.;ENSCHEDE;149,595
DE UTRECHTSE STADSVRIJHEID B.V.;UTRECHT;9,423
DE UTRECHTSE WIJNKELDER B.V.;UTRECHT;24,498
DE V & M SPEELAUTOMATEN B.V.;HASSELT;3,285
DE VALK TOURS B.V.;VALKENBURG LB;10,143
DE VEENPOORT V.O.F.;VEENDAM;2,208
DE VEENSE BOUWER B.V.;VEENENDAAL;15,132
DE VERBORGEN PAREL V.O.F.;HUIZEN;600
DE VERDUBBELING V.O.F.;VEENOORD;1,992
DE VERGULDE LANTAREN B.V.;AMSTERDAM;22,641
DE VERHUURSPECIALIST V.O.F.;NUENEN;1,089
DE VERSPILLINGSFABRIEK B.V.;VEGHEL;39,384
DE VETTE B.V.;SCHIPLUIDEN;45,339
DE VIERGANG B.V.;PIJNACKER;8,655
DE VIJVERBORGH B.V.;BREDA;11,700
DE VIJZEL TRADING B.V.;NIEUW-BUINEN;6,321
DE VIRTUALISTEN B.V.;S-GRAVENHAGE;16,578
DE VISIE B.V.;MHEER;14,697
DE VISZAAK;HARDERWIJK;4,392
DE VLAAMSCHE REUS B.V.;WAGENINGEN;1,386
DE VOLKSMAKELAAR B.V.;ALMERE;2,409
DE VOLMOLEN ENERGIECENTRUM V.O.F.;RIETHOVEN;1,347
DE VONDELTUIN B.V.;AMSTERDAM;4,467
DE VOS BEDRIJFSDIENSTEN B.V.;HOUTEN;116,145
DE VOS CATER-PLUS B.V.;HOUTEN;42,645
DE VOS CORE SUPPORT B.V.;HOUTEN;9,309
DE VOS ERGONOMICS B.V.;HOUTEN;13,635
DE VOS GROEP B.V.;HOUTEN;26,625
DE VOS HORECA B.V.;WESTENDORP;8,166
DE VR ARCADE B.V.;AMSTERDAM;4,230
DE VRIENDEN VAN ROBERT COOPERATIE U.A.;OISTERWIJK;14,457
DE VRIENDEN VAN TILBURG B.V.;UTRECHT;10,815
DE VRIES COMPETITION B.V.;UITWELLINGERGA;4,437
DE VRIES PRODUCTIES B.V.;AMSTERDAM;7,191
DE VRIES WELDING B.V.;GROOT-AMMERS;62,061
DE VRIJE MARKT WAMEL B.V.;WAMEL;7,695
DE VROLIJKE PATER B.V.;ALKMAAR;3,135
DE VROOLIJKE FRANS B.V.;GAMEREN;12,048
DE VUURSCHE BOER B.V.;LAGE VUURSCHE;50,865
DE WAARD BEROEPSKLEDING B.V.;ALKMAAR;19,476
DE WAARD BOUW B.V.;AMSTERDAM;17,547
DE WAARD BOUW B.V.;AMSTERDAM;25,875
DE WAGENINGSE ENG BEHEER B.V.;EDE GLD;3,495
DE WAL-BIJMA V.O.F.;DRONTEN;11,721
DE WARMTEPOMPSPECIALIST B.V.;ASSEN;18,045
DE WATERBURCHT EELDE B.V.;EELDE;5,799
DE WATERMOLEN VAN OPWETTEN B.V.;NUENEN;13,923
DE WATERTUIN BEHEER B.V.;NAALDWIJK;3,018
DE WATERTUIN BERGEN OP ZOOM B.V.;BERGEN OP ZOOM;33,105
DE WATERTUIN HENDRIK-IDO-AMBACHT B.V.;HENDRIK-IDO-AMBACHT;8,826
DE WATERTUIN SCHIEDAM B.V.;SCHIEDAM;33,999
DE WATERTUIN SPIJKENISSE B.V.;SPIJKENISSE;80,910
DE WEDREN, FYSIOTHERAPIE, TRAININGS-& YOGACENTRUM;NIJMEGEN;20,796
DE WERF EXPLOITATIE B.V.;ENKHUIZEN;8,418
DE WERKGROEP B.V.;LANDGRAAF;30,379
DE WERKMEESTER B.V.;RIJEN;42,879
DE WERKUNIE B.V.;WOERDEN;79,116
DE WERKUNIE B.V.;WOERDEN;11,685
